Species name
American Bittern
American Coot
American Wigeon 
Barrow's Goldeneye 
Black Tern
Bufflehead 
Eared Grebe
Green-winged Teal 
Horned Grebe
Mallard 
Pied-billed Grebe
Redhead 
Red-necked Grebe
Ring-necked Duck 
Ruddy Duck 
Sora
Trumpeter Swan 
Virginia Rail
White-winged Scoter
Yellow Rail
Band-tailed Pigeon
Common Nighthawk
Evening Grosbeak
Flammulated Owl
Rusty Blackbird
Sharp-tailed Grouse
Townsend's Warbler
